[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_template ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run LocationTemplate Behavior [ RunTime:0.001478s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001541s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_parse ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ParseTemplate Behavior [ RunTime:0.024785s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.024878s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_filter ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ContentReplace Behavior [ RunTime:0.001134s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run TokenBuild Behavior [ RunTime:0.001789s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000662s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ShowRuntime Behavior [ RunTime:0.001179s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005011s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_end ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001226s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001328s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.004124s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.004611s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001879s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002004s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | SQL: SHOW COLUMNS FROM `think_article` [ RunTime:0.004784s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | SQL: SELECT COUNT(*) AS tp_count FROM `think_article` WHERE isSubmitted=0 LIMIT 1   [ RunTime:0.059813s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | SQL: SELECT * FROM `think_article` WHERE isSubmitted=0 LIMIT -5,5   [ RunTime:0.000211s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.001335s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001392s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.032570s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.032655s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000870s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000832s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000627s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.001170s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003653s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.001113s ]
[ 2015-02-08T00:04:08+08:00 ] /thinkphpTest/admin.php/Index/draft/p/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.001226s ]
[ 2015-02-08T00:05:51+08:00 ] /thinkphpTest/admin.php/Index/draft/p/3 | INFO: Tag[ route_check ] --START--
